Pos,Dir,Team,P,W,D,L,GF,GA,DIFF,Points,Season
12,-1,VFL Copenhagen,10,3,2,5,5,11,-6,11,Season 61501
13,1,VFL Bern,10,3,1,6,12,15,-3,10,Season 61501
14,1,VFL Brussels,10,2,2,6,14,17,-3,8,Season 61501
15,-1,VFL Athens,10,1,4,5,4,13,-9,7,Season 61501
16,1,VFL Vienna,10,1,3,6,6,15,-9,6,Season 61501
1,-1,VFL Berlin,11,7,2,2,19,12,7,23,Season 61501
2,-1,VFL Ankara,11,7,1,3,18,13,5,22,Season 61501
2,-1,VFL Lisbon,11,7,1,3,18,13,5,22,Season 61501
4,1,VFL Oslo,11,6,3,2,17,11,6,21,Season 61501
5,-1,VFL Madrid,11,5,5,1,21,11,10,20,Season 61501
6,1,VFL Rome,11,5,3,3,17,13,4,18,Season 61501
7,-1,VFL Edinburgh,11,5,3,3,13,14,-1,18,Season 61501
8,1,VFL London,11,4,3,4,16,14,2,15,Season 61501
9,0,VFL Amsterdam,11,4,3,4,17,16,1,15,Season 61501
10,-1,VFL Copenhagen,11,3,3,5,6,12,-6,12,Season 61501
11,1,VFL Stockholm,11,3,2,6,15,14,1,11,Season 61501
12,-1,VFL Brussels,11,3,2,6,15,17,-2,11,Season 61501
13,0,VFL Bern,11,3,2,6,13,16,-3,11,Season 61501
14,1,VFL Paris,11,3,2,6,8,13,-5,11,Season 61501
15,0,VFL Athens,11,1,4,6,5,17,-12,7,Season 61501
16,0,VFL Vienna,11,1,3,7,6,18,-12,6,Season 61501
1,-1,VFL Ankara,12,8,1,3,20,13,7,25,Season 61501
2,0,VFL Lisbon,12,8,1,3,19,13,6,25,Season 61501
3,-1,VFL Madrid,12,6,5,1,22,11,11,23,Season 61501
4,1,VFL Berlin,12,7,2,3,19,13,6,23,Season 61501
5,1,VFL Oslo,12,6,4,2,18,12,6,22,Season 61501
6,0,VFL Rome,12,5,4,3,18,14,4,19,Season 61501
7,0,VFL Edinburgh,12,5,3,4,13,16,-3,18,Season 61501
8,-1,VFL Amsterdam,12,4,4,4,18,17,1,16,Season 61501
9,1,VFL London,12,4,3,5,16,16,0,15,Season 61501
10,-1,VFL Bern,12,4,2,6,15,16,-1,14,Season 61501
11,-1,VFL Paris,12,4,2,6,10,14,-4,14,Season 61501
12,1,VFL Copenhagen,12,3,4,5,7,13,-6,13,Season 61501
13,1,VFL Stockholm,12,3,3,6,16,15,1,12,Season 61501
14,1,VFL Brussels,12,3,3,6,16,18,-2,12,Season 61501
15,0,VFL Athens,12,1,4,7,5,18,-13,7,Season 61501
16,0,VFL Vienna,12,1,3,8,7,20,-13,6,Season 61501
1,0,VFL Ankara,13,8,2,3,23,16,7,26,Season 61501
2,-1,VFL Berlin,13,8,2,3,21,14,7,26,Season 61501
3,1,VFL Lisbon,13,8,2,3,20,14,6,26,Season 61501
4,-1,VFL Oslo,13,7,4,2,21,13,8,25,Season 61501
5,1,VFL Madrid,13,6,6,1,23,12,11,24,Season 61501
6,0,VFL Rome,13,5,4,4,19,16,3,19,Season 61501
7,0,VFL Edinburgh,13,5,3,5,14,18,-4,18,Season 61501
8,-1,VFL Bern,13,5,2,6,19,18,1,17,Season 61501
9,1,VFL Amsterdam,13,4,5,4,18,17,1,17,Season 61501
10,-1,VFL Paris,13,5,2,6,12,14,-2,17,Season 61501
11,1,VFL London,13,4,3,6,17,19,-2,15,Season 61501
12,0,VFL Copenhagen,13,3,5,5,7,13,-6,14,Season 61501
13,-1,VFL Brussels,13,3,4,6,19,21,-2,13,Season 61501
14,1,VFL Stockholm,13,3,3,7,18,19,-1,12,Season 61501
15,-1,VFL Vienna,13,2,3,8,9,21,-12,9,Season 61501
16,1,VFL Athens,13,1,4,8,5,20,-15,7,Season 61501
1,0,VFL Ankara,14,9,2,3,26,17,9,29,Season 61501
2,0,VFL Berlin,14,8,3,3,22,15,7,27,Season 61501
3,-1,VFL Oslo,14,7,5,2,21,13,8,26,Season 61501
4,1,VFL Lisbon,14,8,2,4,21,18,3,26,Season 61501
5,0,VFL Madrid,14,6,6,2,24,14,10,24,Season 61501
6,0,VFL Rome,14,6,4,4,23,17,6,22,Season 61501
7,-1,VFL Paris,14,6,2,6,14,15,-1,20,Season 61501
8,-1,VFL Amsterdam,14,4,6,4,19,18,1,18,Season 61501
9,-1,VFL London,14,5,3,6,19,20,-1,18,Season 61501
10,1,VFL Edinburgh,14,5,3,6,14,19,-5,18,Season 61501
11,1,VFL Bern,14,5,2,7,20,21,-1,17,Season 61501
12,0,VFL Copenhagen,14,3,5,6,8,15,-7,14,Season 61501
13,-1,VFL Stockholm,14,3,4,7,18,19,-1,13,Season 61501
14,1,VFL Brussels,14,3,4,7,20,23,-3,13,Season 61501
15,0,VFL Vienna,14,3,3,8,11,22,-11,12,Season 61501
16,0,VFL Athens,14,2,4,8,6,20,-14,10,Season 61501
1,-1,VFL Oslo,15,8,5,2,26,13,13,29,Season 61501
2,1,VFL Ankara,15,9,2,4,26,22,4,29,Season 61501
3,-1,VFL Lisbon,15,9,2,4,23,19,4,29,Season 61501
4,-1,VFL Madrid,15,7,6,2,30,14,16,27,Season 61501
5,1,VFL Berlin,15,8,3,4,23,17,6,27,Season 61501
6,0,VFL Rome,15,7,4,4,25,18,7,25,Season 61501
7,-1,VFL Amsterdam,15,5,6,4,21,19,2,21,Season 61501
8,-1,VFL Bern,15,6,2,7,21,21,0,20,Season 61501
9,1,VFL Paris,15,6,2,7,15,17,-2,20,Season 61501
10,1,VFL London,15,5,3,7,20,22,-2,18,Season 61501
11,1,VFL Edinburgh,15,5,3,7,14,25,-11,18,Season 61501
12,0,VFL Copenhagen,15,4,5,6,12,17,-5,17,Season 61501
13,-1,VFL Brussels,15,4,4,7,21,23,-2,16,Season 61501
14,1,VFL Stockholm,15,3,4,8,20,23,-3,13,Season 61501
15,0,VFL Vienna,15,3,3,9,11,23,-12,12,Season 61501
16,0,VFL Athens,15,2,4,9,6,21,-15,10,Season 61501
1,0,VFL Oslo,16,9,5,2,30,13,17,32,Season 61501
2,0,VFL Ankara,16,9,3,4,26,22,4,30,Season 61501
3,0,VFL Lisbon,16,9,2,5,23,20,3,29,Season 61501
4,-1,VFL Berlin,16,8,4,4,23,17,6,28,Season 61501
5,1,VFL Madrid,16,7,6,3,31,16,15,27,Season 61501
6,0,VFL Rome,16,7,5,4,27,20,7,26,Season 61501
7,0,VFL Amsterdam,16,6,6,4,22,19,3,24,Season 61501
8,0,VFL Bern,16,7,2,7,24,22,2,23,Season 61501
9,0,VFL Paris,16,6,3,7,15,17,-2,21,Season 61501
10,-1,VFL Brussels,16,5,4,7,23,24,-1,19,Season 61501
11,0,VFL Edinburgh,16,5,4,7,16,27,-11,19,Season 61501
12,1,VFL London,16,5,3,8,21,24,-3,18,Season 61501
13,1,VFL Copenhagen,16,4,6,6,12,17,-5,18,Season 61501
14,0,VFL Stockholm,16,4,4,8,22,24,-2,16,Season 61501
15,0,VFL Vienna,16,3,3,10,11,27,-16,12,Season 61501
16,0,VFL Athens,16,2,4,10,7,24,-17,10,Season 61501
1,0,VFL Oslo,17,9,6,2,32,15,17,33,Season 61501
2,-1,VFL Lisbon,17,10,2,5,25,20,5,32,Season 61501
3,1,VFL Ankara,17,9,3,5,26,24,2,30,Season 61501
4,-1,VFL Rome,17,8,5,4,30,20,10,29,Season 61501
5,1,VFL Berlin,17,8,5,4,24,18,6,29,Season 61501
6,1,VFL Madrid,17,7,6,4,31,17,14,27,Season 61501
7,0,VFL Amsterdam,17,7,6,4,26,19,7,27,Season 61501
8,0,VFL Bern,17,8,2,7,25,22,3,26,Season 61501
9,-1,VFL London,17,6,3,8,23,24,-1,21,Season 61501
10,1,VFL Paris,17,6,3,8,15,19,-4,21,Season 61501
11,-1,VFL Copenhagen,17,5,6,6,13,17,-4,21,Season 61501
12,1,VFL Edinburgh,17,5,5,7,17,28,-11,20,Season 61501
13,1,VFL Brussels,17,5,4,8,23,27,-4,19,Season 61501
14,0,VFL Stockholm,17,4,4,9,22,28,-6,16,Season 61501
15,0,VFL Vienna,17,3,3,11,11,28,-17,12,Season 61501
16,0,VFL Athens,17,2,5,10,9,26,-17,11,Season 61501
1,0,VFL Oslo,18,9,6,3,34,19,15,33,Season 61501
2,0,VFL Lisbon,18,10,3,5,26,21,5,33,Season 61501
3,-1,VFL Madrid,18,8,6,4,35,19,16,30,Season 61501
4,-1,VFL Amsterdam,18,8,6,4,28,20,8,30,Season 61501
5,1,VFL Ankara,18,9,3,6,27,28,-1,30,Season 61501
6,1,VFL Rome,18,8,5,5,31,23,8,29,Season 61501
7,-1,VFL Bern,18,9,2,7,28,23,5,29,Season 61501
8,1,VFL Berlin,18,8,5,5,24,19,5,29,Season 61501
9,0,VFL London,18,7,3,8,25,24,1,24,Season 61501
10,-1,VFL Brussels,18,6,4,8,24,27,-3,22,Season 61501
11,0,VFL Copenhagen,18,5,7,6,14,18,-4,22,Season 61501
12,1,VFL Paris,18,6,3,9,16,21,-5,21,Season 61501
13,1,VFL Edinburgh,18,5,6,7,18,29,-11,21,Season 61501
14,0,VFL Stockholm,18,5,4,9,26,29,-3,19,Season 61501
15,-1,VFL Athens,18,2,6,10,10,27,-17,12,Season 61501
16,1,VFL Vienna,18,3,3,12,11,30,-19,12,Season 61501
1,-1,VFL Lisbon,19,11,3,5,28,22,6,36,Season 61501
2,-1,VFL Madrid,19,9,6,4,39,19,20,33,Season 61501
3,1,VFL Oslo,19,9,6,4,36,23,13,33,Season 61501
4,0,VFL Amsterdam,19,9,6,4,31,20,11,33,Season 61501
5,-1,VFL Rome,19,9,5,5,35,25,10,32,Season 61501
6,-1,VFL Berlin,19,9,5,5,27,19,8,32,Season 61501
7,1,VFL Ankara,19,9,3,7,27,31,-4,30,Season 61501
8,1,VFL Bern,19,9,2,8,28,26,2,29,Season 61501
9,0,VFL London,19,8,3,8,27,24,3,27,Season 61501
10,-1,VFL Paris,19,7,3,9,18,22,-4,24,Season 61501
11,1,VFL Brussels,19,6,4,9,25,29,-4,22,Season 61501
12,1,VFL Copenhagen,19,5,7,7,14,22,-8,22,Season 61501
13,0,VFL Edinburgh,19,5,6,8,19,31,-12,21,Season 61501
14,0,VFL Stockholm,19,5,4,10,26,30,-4,19,Season 61501
15,-1,VFL Vienna,19,4,3,12,12,30,-18,15,Season 61501
16,1,VFL Athens,19,2,6,11,10,29,-19,12,Season 61501
1,-1,VFL Amsterdam,20,10,6,4,35,20,15,36,Season 61501
2,1,VFL Lisbon,20,11,3,6,29,24,5,36,Season 61501
3,0,VFL Oslo,20,9,7,4,38,25,13,34,Season 61501
4,1,VFL Madrid,20,9,6,5,39,22,17,33,Season 61501
5,-1,VFL Berlin,20,9,6,5,29,21,8,33,Season 61501
6,-1,VFL Ankara,20,10,3,7,29,31,-2,33,Season 61501
7,1,VFL Rome,20,9,5,6,35,26,9,32,Season 61501
8,0,VFL Bern,20,10,2,8,30,27,3,32,Season 61501
9,0,VFL London,20,9,3,8,30,24,6,30,Season 61501
10,0,VFL Paris,20,7,4,9,18,22,-4,25,Season 61501
11,-1,VFL Copenhagen,20,6,7,7,15,22,-7,25,Season 61501
12,1,VFL Brussels,20,6,5,9,25,29,-4,23,Season 61501
13,-1,VFL Stockholm,20,6,4,10,29,30,-1,22,Season 61501
14,1,VFL Edinburgh,20,5,6,9,19,35,-16,21,Season 61501
15,0,VFL Vienna,20,4,3,13,12,32,-20,15,Season 61501
16,0,VFL Athens,20,2,6,12,10,32,-22,12,Season 61501
1,-1,VFL Lisbon,21,11,4,6,29,24,5,37,Season 61501
2,1,VFL Amsterdam,21,10,6,5,36,24,12,36,Season 61501
3,-1,VFL Berlin,21,10,6,5,31,22,9,36,Season 61501
4,1,VFL Oslo,21,9,8,4,38,25,13,35,Season 61501
5,-1,VFL Rome,21,10,5,6,37,27,10,35,Season 61501
6,1,VFL Madrid,21,9,6,6,40,24,16,33,Season 61501
7,1,VFL Ankara,21,10,3,8,29,33,-4,33,Season 61501
8,0,VFL Bern,21,10,2,9,30,30,0,32,Season 61501
9,0,VFL London,21,9,3,9,31,26,5,30,Season 61501
10,0,VFL Paris,21,8,4,9,21,22,-1,28,Season 61501
11,-1,VFL Stockholm,21,7,4,10,31,31,0,25,Season 61501
12,1,VFL Copenhagen,21,6,7,8,16,24,-8,25,Season 61501
13,1,VFL Brussels,21,6,6,9,26,30,-4,24,Season 61501
14,0,VFL Edinburgh,21,5,7,9,20,36,-16,22,Season 61501
15,0,VFL Vienna,21,5,3,13,16,33,-17,18,Season 61501
16,0,VFL Athens,21,3,6,12,12,32,-20,15,Season 61501
1,-1,VFL Amsterdam,22,11,6,5,39,25,14,39,Season 61501
2,-1,VFL Oslo,22,10,8,4,40,26,14,38,Season 61501
3,0,VFL Berlin,22,10,7,5,33,24,9,37,Season 61501
4,1,VFL Lisbon,22,11,4,7,29,25,4,37,Season 61501
5,-1,VFL Ankara,22,11,3,8,31,34,-3,36,Season 61501
6,1,VFL Rome,22,10,5,7,37,29,8,35,Season 61501
7,1,VFL Madrid,22,9,6,7,41,26,15,33,Season 61501
8,0,VFL Bern,22,10,3,9,31,31,0,33,Season 61501
9,0,VFL London,22,9,4,9,33,28,5,31,Season 61501
10,-1,VFL Stockholm,22,8,4,10,33,31,2,28,Season 61501
11,1,VFL Paris,22,8,4,10,22,24,-2,28,Season 61501
12,0,VFL Copenhagen,22,7,7,8,17,24,-7,28,Season 61501
13,0,VFL Brussels,22,6,6,10,27,33,-6,24,Season 61501
14,0,VFL Edinburgh,22,5,8,9,21,37,-16,23,Season 61501
15,-1,VFL Athens,22,4,6,12,14,32,-18,18,Season 61501
16,1,VFL Vienna,22,5,3,14,16,35,-19,18,Season 61501
1,-1,VFL Oslo,23,11,8,4,43,27,16,41,Season 61501
2,-1,VFL Berlin,23,11,7,5,36,25,11,40,Season 61501
3,1,VFL Amsterdam,23,11,6,6,39,26,13,39,Season 61501
4,-1,VFL Rome,23,11,5,7,40,29,11,38,Season 61501
5,1,VFL Lisbon,23,11,5,7,30,26,4,38,Season 61501
6,1,VFL Ankara,23,11,3,9,31,37,-6,36,Season 61501
7,0,VFL Madrid,23,9,7,7,42,27,15,34,Season 61501
8,0,VFL Bern,23,10,3,10,32,34,-2,33,Season 61501
9,0,VFL London,23,9,5,9,34,29,5,32,Season 61501
10,-1,VFL Paris,23,9,4,10,25,25,0,31,Season 61501
11,1,VFL Stockholm,23,8,4,11,34,34,0,28,Season 61501
12,0,VFL Copenhagen,23,7,7,9,18,27,-9,28,Season 61501
13,0,VFL Brussels,23,7,6,10,30,34,-4,27,Season 61501
14,0,VFL Edinburgh,23,5,8,10,22,40,-18,23,Season 61501
15,0,VFL Athens,23,5,6,12,15,32,-17,21,Season 61501
16,0,VFL Vienna,23,5,4,14,17,36,-19,19,Season 61501
1,0,VFL Oslo,24,12,8,4,46,28,18,44,Season 61501
2,-1,VFL Amsterdam,24,12,6,6,42,26,16,42,Season 61501
3,1,VFL Berlin,24,11,7,6,36,26,10,40,Season 61501
4,-1,VFL Ankara,24,12,3,9,32,37,-5,39,Season 61501
5,1,VFL Rome,24,11,5,8,40,30,10,38,Season 61501
6,1,VFL Lisbon,24,11,5,8,31,28,3,38,Season 61501
7,0,VFL Madrid,24,9,8,7,42,27,15,35,Season 61501
8,-1,VFL London,24,9,6,9,37,32,5,33,Season 61501
9,1,VFL Bern,24,10,3,11,32,37,-5,33,Season 61501
10,0,VFL Paris,24,9,5,10,28,28,0,32,Season 61501
11,0,VFL Stockholm,24,9,4,11,36,35,1,31,Season 61501
12,0,VFL Copenhagen,24,8,7,9,20,27,-7,31,Season 61501
13,0,VFL Brussels,24,7,6,11,31,37,-6,27,Season 61501
14,0,VFL Edinburgh,24,5,8,11,22,42,-20,23,Season 61501
15,0,VFL Athens,24,5,7,12,15,32,-17,22,Season 61501
16,0,VFL Vienna,24,6,4,14,18,36,-18,22,Season 61501
1,-1,VFL Amsterdam,25,13,6,6,44,27,17,45,Season 61501
2,1,VFL Oslo,25,12,8,5,47,30,17,44,Season 61501
3,0,VFL Berlin,25,12,7,6,38,26,12,43,Season 61501
4,-1,VFL Lisbon,25,12,5,8,33,29,4,41,Season 61501
5,0,VFL Rome,25,11,6,8,41,31,10,39,Season 61501
6,1,VFL Ankara,25,12,3,10,33,39,-6,39,Season 61501
7,-1,VFL London,25,10,6,9,39,32,7,36,Season 61501
8,-1,VFL Bern,25,11,3,11,34,38,-4,36,Season 61501
9,1,VFL Madrid,25,9,8,8,43,29,14,35,Season 61501
10,0,VFL Paris,25,10,5,10,29,28,1,35,Season 61501
11,-1,VFL Copenhagen,25,9,7,9,22,28,-6,34,Season 61501
12,1,VFL Stockholm,25,9,4,12,36,36,0,31,Season 61501
13,0,VFL Brussels,25,7,6,12,32,39,-7,27,Season 61501
14,-1,VFL Athens,25,5,8,12,16,33,-17,23,Season 61501
15,1,VFL Edinburgh,25,5,8,12,22,44,-22,23,Season 61501
16,0,VFL Vienna,25,6,4,15,18,38,-20,22,Season 61501
1,0,VFL Amsterdam,26,13,7,6,46,29,17,46,Season 61501
2,-1,VFL Berlin,26,13,7,6,40,26,14,46,Season 61501
3,1,VFL Oslo,26,12,9,5,49,32,17,45,Season 61501
4,0,VFL Lisbon,26,12,6,8,35,31,4,42,Season 61501
5,0,VFL Rome,26,11,6,9,41,32,9,39,Season 61501
6,0,VFL Ankara,26,12,3,11,33,41,-8,39,Season 61501
7,-1,VFL Madrid,26,10,8,8,44,29,15,38,Season 61501
8,-1,VFL Paris,26,11,5,10,31,28,3,38,Season 61501
9,-1,VFL Copenhagen,26,10,7,9,23,28,-5,37,Season 61501
10,1,VFL London,26,10,6,10,39,33,6,36,Season 61501
11,1,VFL Bern,26,11,3,12,34,39,-5,36,Season 61501
12,0,VFL Stockholm,26,9,4,13,36,37,-1,31,Season 61501
13,0,VFL Brussels,26,8,6,12,33,39,-6,30,Season 61501
14,-1,VFL Edinburgh,26,6,8,12,23,44,-21,26,Season 61501
15,1,VFL Athens,26,5,8,13,16,35,-19,23,Season 61501
16,0,VFL Vienna,26,6,5,15,20,40,-20,23,Season 61501
1,-1,VFL Oslo,27,13,9,5,53,32,21,48,Season 61501
2,1,VFL Amsterdam,27,13,8,6,47,30,17,47,Season 61501
3,1,VFL Berlin,27,13,8,6,41,27,14,47,Season 61501
4,0,VFL Lisbon,27,13,6,8,37,31,6,45,Season 61501
5,-1,VFL Ankara,27,13,3,11,36,42,-6,42,Season 61501
6,1,VFL Rome,27,11,7,9,42,33,9,40,Season 61501
7,0,VFL Madrid,27,10,9,8,45,30,15,39,Season 61501
8,-1,VFL London,27,11,6,10,41,34,7,39,Season 61501
9,1,VFL Paris,27,11,6,10,33,30,3,39,Season 61501
10,1,VFL Copenhagen,27,10,7,10,23,32,-9,37,Season 61501
11,0,VFL Bern,27,11,3,13,35,41,-6,36,Season 61501
12,0,VFL Stockholm,27,9,5,13,37,38,-1,32,Season 61501
13,0,VFL Brussels,27,8,7,12,34,40,-6,31,Season 61501
14,0,VFL Edinburgh,27,6,8,13,24,47,-23,26,Season 61501
15,-1,VFL Vienna,27,6,6,15,22,42,-20,24,Season 61501
16,1,VFL Athens,27,5,8,14,16,37,-21,23,Season 61501
1,-1,VFL Amsterdam,28,14,8,6,48,30,18,50,Season 61501
2,1,VFL Oslo,28,13,9,6,53,34,19,48,Season 61501
3,-1,VFL Lisbon,28,14,6,8,41,34,7,48,Season 61501
4,1,VFL Berlin,28,13,8,7,41,28,13,47,Season 61501
5,-1,VFL Rome,28,12,7,9,43,33,10,43,Season 61501
6,-1,VFL London,28,12,6,10,43,34,9,42,Season 61501
7,-1,VFL Paris,28,12,6,10,35,30,5,42,Season 61501
8,1,VFL Ankara,28,13,3,12,37,44,-7,42,Season 61501
9,1,VFL Madrid,28,10,9,9,48,34,14,39,Season 61501
10,0,VFL Copenhagen,28,10,7,11,23,33,-10,37,Season 61501
11,0,VFL Bern,28,11,3,14,36,43,-7,36,Season 61501
12,0,VFL Stockholm,28,10,5,13,39,39,0,35,Season 61501
13,0,VFL Brussels,28,9,7,12,36,41,-5,34,Season 61501
14,-1,VFL Vienna,28,7,6,15,23,42,-19,27,Season 61501
15,1,VFL Edinburgh,28,6,8,14,24,48,-24,26,Season 61501
16,0,VFL Athens,28,5,8,15,16,39,-23,23,Season 61501
1,0,VFL Amsterdam,29,15,8,6,49,30,19,53,Season 61501
2,-1,VFL Lisbon,29,15,6,8,42,34,8,51,Season 61501
3,1,VFL Oslo,29,13,9,7,53,35,18,48,Season 61501
4,0,VFL Berlin,29,13,8,8,41,29,12,47,Season 61501
5,-1,VFL Paris,29,13,6,10,37,31,6,45,Season 61501
6,1,VFL Rome,29,12,7,10,43,34,9,43,Season 61501
7,1,VFL London,29,12,6,11,43,35,8,42,Season 61501
8,0,VFL Ankara,29,13,3,13,39,47,-8,42,Season 61501
9,-1,VFL Copenhagen,29,11,7,11,24,33,-9,40,Season 61501
10,1,VFL Madrid,29,10,9,10,49,36,13,39,Season 61501
11,0,VFL Bern,29,12,3,14,39,45,-6,39,Season 61501
12,0,VFL Stockholm,29,11,5,13,40,39,1,38,Season 61501
13,0,VFL Brussels,29,10,7,12,38,41,-3,37,Season 61501
14,-1,VFL Edinburgh,29,7,8,14,25,48,-23,29,Season 61501
15,1,VFL Vienna,29,7,6,16,23,44,-21,27,Season 61501
16,0,VFL Athens,29,5,8,16,16,40,-24,23,Season 61501
1,0,VFL Amsterdam,30,16,8,6,50,30,20,56,Season 61501
2,0,VFL Lisbon,30,16,6,8,44,35,9,54,Season 61501
3,0,VFL Oslo,30,14,9,7,56,37,19,51,Season 61501
4,0,VFL Berlin,30,13,8,9,42,31,11,47,Season 61501
5,0,VFL Paris,30,13,7,10,37,31,6,46,Season 61501
6,0,VFL Rome,30,12,8,10,43,34,9,44,Season 61501
7,-1,VFL Madrid,30,11,9,10,51,36,15,42,Season 61501
8,1,VFL London,30,12,6,12,43,36,7,42,Season 61501
9,1,VFL Ankara,30,13,3,14,41,50,-9,42,Season 61501
10,1,VFL Copenhagen,30,11,8,11,24,33,-9,41,Season 61501
11,-1,VFL Stockholm,30,11,6,13,40,39,1,39,Season 61501
12,1,VFL Bern,30,12,3,15,39,47,-8,39,Season 61501
13,0,VFL Brussels,30,10,8,12,39,42,-3,38,Season 61501
14,-1,VFL Vienna,30,8,6,16,25,44,-19,30,Season 61501
15,1,VFL Edinburgh,30,7,8,15,25,50,-25,29,Season 61501
16,0,VFL Athens,30,5,9,16,17,41,-24,24,Season 61501
1,0,VFL Madrid,1,1,0,0,5,0,5,3,Season 61500
2,0,VFL London,1,1,0,0,3,1,2,3,Season 61500
3,0,VFL Athens,1,1,0,0,2,0,2,3,Season 61500
4,0,VFL Ankara,1,1,0,0,2,1,1,3,Season 61500
4,0,VFL Lisbon,1,1,0,0,2,1,1,3,Season 61500
4,0,VFL Stockholm,1,1,0,0,2,1,1,3,Season 61500
7,0,VFL Rome,1,1,0,0,1,0,1,3,Season 61500
8,0,VFL Paris,1,0,1,0,2,2,0,1,Season 61500
8,0,VFL Vienna,1,0,1,0,2,2,0,1,Season 61500
10,0,VFL Amsterdam,1,0,0,1,1,2,-1,0,Season 61500
10,0,VFL Copenhagen,1,0,0,1,1,2,-1,0,Season 61500
10,0,VFL Edinburgh,1,0,0,1,1,2,-1,0,Season 61500
13,0,VFL Berlin,1,0,0,1,0,1,-1,0,Season 61500
14,0,VFL Oslo,1,0,0,1,1,3,-2,0,Season 61500
15,0,VFL Bern,1,0,0,1,0,2,-2,0,Season 61500
16,0,VFL Brussels,1,0,0,1,0,5,-5,0,Season 61500
1,0,VFL Madrid,2,2,0,0,7,1,6,6,Season 61500
2,0,VFL London,2,2,0,0,6,3,3,6,Season 61500
3,-1,VFL Rome,2,2,0,0,3,1,2,6,Season 61500
4,-1,VFL Vienna,2,1,1,0,3,2,1,4,Season 61500
5,-1,VFL Oslo,2,1,0,1,5,3,2,3,Season 61500
6,1,VFL Athens,2,1,0,1,2,1,1,3,Season 61500
7,1,VFL Ankara,2,1,0,1,3,3,0,3,Season 61500
7,1,VFL Lisbon,2,1,0,1,3,3,0,3,Season 61500
9,-1,VFL Amsterdam,2,1,0,1,2,2,0,3,Season 61500
9,-1,VFL Copenhagen,2,1,0,1,2,2,0,3,Season 61500
9,1,VFL Stockholm,2,1,0,1,2,2,0,3,Season 61500
12,-1,VFL Berlin,2,0,1,1,3,4,-1,1,Season 61500
13,1,VFL Paris,2,0,1,1,2,6,-4,1,Season 61500
14,-1,VFL Brussels,2,0,1,1,3,8,-5,1,Season 61500
15,1,VFL Edinburgh,2,0,0,2,3,5,-2,0,Season 61500
16,1,VFL Bern,2,0,0,2,0,3,-3,0,Season 61500
1,0,VFL Madrid,3,3,0,0,11,2,9,9,Season 61500
2,-1,VFL Rome,3,3,0,0,5,2,3,9,Season 61500
3,-1,VFL Vienna,3,2,1,0,4,2,2,7,Season 61500
4,-1,VFL Oslo,3,2,0,1,7,3,4,6,Season 61500
5,1,VFL London,3,2,0,1,7,5,2,6,Season 61500
6,-1,VFL Lisbon,3,2,0,1,5,3,2,6,Season 61500
7,-1,VFL Amsterdam,3,2,0,1,3,2,1,6,Season 61500
8,-1,VFL Berlin,3,1,1,1,5,4,1,4,Season 61500
9,1,VFL Athens,3,1,0,2,2,2,0,3,Season 61500
10,1,VFL Copenhagen,3,1,0,2,2,3,-1,3,Season 61500
11,1,VFL Ankara,3,1,0,2,3,5,-2,3,Season 61500
12,1,VFL Stockholm,3,1,0,2,3,6,-3,3,Season 61500
13,0,VFL Paris,3,0,2,1,3,7,-4,2,Season 61500
14,-1,VFL Edinburgh,3,0,1,2,4,6,-2,1,Season 61500
15,1,VFL Brussels,3,0,1,2,3,10,-7,1,Season 61500
16,0,VFL Bern,3,0,0,3,0,5,-5,0,Season 61500
1,0,VFL Madrid,4,3,1,0,11,2,9,10,Season 61500
2,0,VFL Rome,4,3,1,0,6,3,3,10,Season 61500
3,-1,VFL Oslo,4,3,0,1,12,4,8,9,Season 61500
4,-1,VFL London,4,3,0,1,10,5,5,9,Season 61500
5,-1,VFL Lisbon,4,3,0,1,7,4,3,9,Season 61500
6,-1,VFL Berlin,4,2,1,1,7,4,3,7,Season 61500
7,0,VFL Amsterdam,4,2,1,1,3,2,1,7,Season 61500
8,1,VFL Vienna,4,2,1,1,5,7,-2,7,Season 61500
9,0,VFL Athens,4,1,1,2,2,2,0,4,Season 61500
10,0,VFL Copenhagen,4,1,1,2,2,3,-1,4,Season 61500
11,0,VFL Ankara,4,1,0,3,4,7,-3,3,Season 61500
12,-1,VFL Bern,4,1,0,3,2,5,-3,3,Season 61500
13,0,VFL Paris,4,0,3,1,4,8,-4,3,Season 61500
14,1,VFL Stockholm,4,1,0,3,3,8,-5,3,Season 61500
15,1,VFL Edinburgh,4,0,1,3,4,8,-4,1,Season 61500
16,1,VFL Brussels,4,0,1,3,3,13,-10,1,Season 61500
1,-1,VFL Oslo,5,4,0,1,17,5,12,12,Season 61500
2,-1,VFL Lisbon,5,4,0,1,9,5,4,12,Season 61500
3,1,VFL Madrid,5,3,1,1,11,3,8,10,Season 61500
4,0,VFL London,5,3,1,1,11,6,5,10,Season 61500
5,-1,VFL Amsterdam,5,3,1,1,4,2,2,10,Season 61500
6,1,VFL Rome,5,3,1,1,6,6,0,10,Season 61500
7,1,VFL Berlin,5,2,2,1,8,5,3,8,Season 61500
8,0,VFL Vienna,5,2,1,2,5,8,-3,7,Season 61500
9,-1,VFL Bern,5,2,0,3,5,5,0,6,Season 61500
10,0,VFL Copenhagen,5,1,2,2,3,4,-1,5,Season 61500
11,0,VFL Ankara,5,1,1,3,5,8,-3,4,Season 61500
